epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
3700,0.5517578125,0.5971507594554857,0.596711365711265,1.0,true,0.125,0.265625,-0.375|0.125|0.1875|-0.375,-0.36|0.0652|0.1726|-0.3529,-1.0|1.0|1.0|-1.0,-0.3937|-0.3565|-0.3274|-0.3622|0.1055|0.0414|0.0644|0.0493|0.1621|0.1543|0.1706|0.2035|-0.3628|-0.3595|-0.3633|-0.326
3725,0.9833984375,0.9753802574288665,0.974551947489792,0.5,false,-0.125,0.015625,-0.0625|-0.0625|-0.125|-0.1875,-0.0779|-0.0637|-0.0828|-0.1374,-1.0|-1.0|-1.0|-1.0,-0.0593|-0.0979|-0.0756|-0.0788|-0.0631|-0.0811|-0.0138|-0.0966|-0.1264|-0.1212|-0.0388|-0.0448|-0.1124|-0.1661|-0.1211|-0.1499
3750,0.978515625,0.9985385826408888,0.9978234921622815,0.5,false,-0.25,0.03125,0.0625|0.25|-0.25|-0.1875,0.0669|0.221|-0.2547|-0.1804,1.0|1.0|-1.0|-1.0,0.0759|0.0333|0.0977|0.0609|0.2562|0.2023|0.268|0.1574|-0.2482|-0.2472|-0.2629|-0.2607|-0.165|-0.2009|-0.1941|-0.1617
3775,1.021484375,0.979586392498904,0.9787099174142054,0.5,false,-0.375,0.03125,0.0|-0.375|0.0625|-0.4375,-0.0388|-0.3501|0.0842|-0.4258,1.0|-1.0|1.0|-1.0,0.0105|0.0005|-0.0656|-0.1007|-0.3402|-0.3032|-0.3852|-0.3715|0.0791|0.0607|0.0975|0.0995|-0.4233|-0.4081|-0.4362|-0.4358
3800,0.787109375,0.8138865008897613,0.8131777453433233,0.75,false,-0.125,0.125,-0.1875|0.25|-0.125|-0.1875,-0.182|0.1897|-0.1151|-0.1732,-1.0|1.0|-1.0|-1.0,-0.2024|-0.2342|-0.1511|-0.1404|0.1872|0.2229|0.1857|0.1629|-0.125|-0.1178|-0.0918|-0.1258|-0.1926|-0.188|-0.1267|-0.1855
3825,0.6728515625,0.6899494231534908,0.6889647896622129,0.75,false,-0.0,0.203125,-0.5|0.25|0.0625|0.0,-0.507|0.2371|0.0062|-0.0289,-1.0|1.0|1.0|1.0,-0.5269|-0.4722|-0.486|-0.5428|0.2604|0.251|0.1764|0.2606|-0.0442|-0.025|0.063|0.031|-0.0251|-0.0226|-0.0332|-0.0345
3850,0.77734375,0.7473406423194864,0.7462196024786313,0.75,false,-0.0625,0.125,-0.1875|0.1875|-0.0625|-0.1875,-0.1988|0.1952|-0.055|-0.2369,-1.0|1.0|-1.0|-1.0,-0.187|-0.1854|-0.1874|-0.2354|0.2315|0.1707|0.194|0.1847|-0.0816|-0.0297|-0.0429|-0.0657|-0.1988|-0.1664|-0.3007|-0.2817
3875,1.06640625,0.970231429202036,0.9689080045545468,0.25,false,-0.0625,-0.03125,0.0625|-0.0625|0.0625|0.0625,0.0494|0.0068|0.0744|-0.0349,1.0|-1.0|1.0|1.0,0.069|0.052|0.0448|0.0316|0.043|-0.0169|0.0788|-0.0776|0.0726|0.0629|0.0746|0.0877|0.026|-0.081|-0.0397|-0.0448
3900,0.767578125,0.7628664119283973,0.762412204025363,1.0,true,0.0625,0.125,-0.125|0.0625|0.1875|-0.125,-0.1096|0.0535|0.2232|-0.1297,-1.0|1.0|1.0|-1.0,-0.1387|-0.1335|-0.0812|-0.085|0.0412|0.0368|0.0316|0.1044|0.2201|0.2428|0.2268|0.2031|-0.1246|-0.1251|-0.1303|-0.1387
3925,0.951171875,0.913563526097355,0.911585495306873,0.5,false,-0.125,0.03125,0.0|-0.125|0.0625|-0.1875,-0.0466|-0.183|0.1648|-0.1998,1.0|-1.0|1.0|-1.0,-0.0516|-0.048|0.0014|-0.0883|-0.1225|-0.1836|-0.1753|-0.2507|0.0794|0.1238|0.201|0.2549|-0.1868|-0.1848|-0.2207|-0.207
3950,0.8251953125,0.8191083122586886,0.8182849458214478,0.75,false,-0.125,0.109375,-0.375|-0.125|0.125|-0.0625,-0.3635|-0.1295|0.1287|-0.0872,-1.0|-1.0|1.0|-1.0,-0.3201|-0.3877|-0.3704|-0.3759|-0.1062|-0.1665|-0.1162|-0.1291|0.1251|0.1234|0.1263|0.1401|-0.0906|-0.0153|-0.1404|-0.1026
3975,0.662109375,0.6805120786841834,0.6801882401956452,1.0,true,0.125,0.1875,-0.25|0.125|0.1875|-0.1875,-0.2455|0.1222|0.1515|-0.1869,-1.0|1.0|1.0|-1.0,-0.2495|-0.2338|-0.2305|-0.2682|0.0984|0.1105|0.1283|0.1516|0.1573|0.1666|0.1254|0.1567|-0.1736|-0.2207|-0.1862|-0.1673
