column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
8,initial,0.19007836139393391,0.03289590951221905,1,1,1,10,2
1,initial,0.16735534283012365,-0.07286113130097087,1,1,1,11,2
2,initial,0.20060743049395063,0.0890059376904388,1,1,1,11,2
3,initial,0.2066367911309909,-0.11696768852832715,1,1,1,11,2
4,initial,0.17813068456269499,0.028356628326051944,1,1,1,11,2
5,initial,0.29800168381605774,-0.15599110105588454,1,1,1,11,2
6,initial,0.26375931252270957,-0.061535534512436145,1,1,1,11,2
7,initial,0.18025578102539302,-0.007036279515925413,1,1,1,11,2
8,initial,0.2211711330945485,0.09155817424187461,1,1,1,11,2
1,initial,0.15305312985196687,-0.0384943387503512,1,1,1,12,2
2,initial,0.23333431620187378,0.06603273870327525,1,1,1,12,2
3,initial,0.19675943480024288,-0.05226517182448591,1,1,1,12,2
4,initial,0.255419666549055,-0.024964566009032477,1,1,1,12,2
5,initial,0.30253302017767364,-0.05214713693822491,1,1,1,12,2
6,initial,0.30992253299564426,-0.10910237255596926,1,1,1,12,2
7,initial,0.22414550229262895,-0.11653917112720139,1,1,1,12,2
8,initial,0.24400015414604753,0.07188467143982569,1,1,1,12,2
1,initial,0.21166285442574484,0.008506968492559067,1,1,1,13,2
2,initial,0.21212693770827235,0.08046633119900518,1,1,1,13,2
3,initial,0.2105600333364632,-0.08134453523609184,1,1,1,13,2
4,initial,0.22749621764997663,-0.05860549236340029,1,1,1,13,2
5,initial,0.3319636223106144,-0.05555989794469088,1,1,1,13,2
6,initial,0.3038841128201667,-0.1343670748381945,1,1,1,13,2
7,initial,0.2839691770051409,-0.16686401518067398,1,1,1,13,2
8,initial,0.27347410518324233,0.08742453641670037,1,1,1,13,2
1,initial,0.20030974885667557,-0.0002793304374276856,1,1,1,14,2
2,initial,0.20995663352727947,0.05591632825041687,1,1,1,14,2
3,initial,0.20170757745462747,-0.08103674675394418,1,1,1,14,2
4,initial,0.24199729833630795,-0.05331312885263784,1,1,1,14,2
5,initial,0.3076886925063149,-0.02352696363342449,1,1,1,14,2
6,initial,0.36782469694040265,-0.18793268075612385,1,1,1,14,2
7,initial,0.2911104540254985,-0.12209678710907282,1,1,1,14,2
8,initial,0.29014575175484475,0.08621079449950098,1,1,1,14,2
1,initial,0.23257232787933835,-0.029678183258865273,1,1,1,15,2
2,initial,0.2395949649077234,0.10901222347065032,1,1,1,15,2
3,initial,0.1772290803911424,-0.10629311302876956,1,1,1,15,2
4,initial,0.2053758736210323,-0.002597351188301261,1,1,1,15,2
5,initial,0.36206215733681835,-0.11574124624351037,1,1,1,15,2
6,initial,0.3818051162464885,-0.2023833105963486,1,1,1,15,2
7,initial,0.2539117204214355,-0.16613169368210853,1,1,1,15,2
8,initial,0.30328350319448927,0.07550840338145903,1,1,1,15,2
1,initial,0.27127651049797447,-0.0627361539505641,1,1,1,16,2
2,initial,0.24093967678594472,0.13309604464873964,1,1,1,16,2
3,initial,0.15856759216397268,-0.13439198992727044,1,1,1,16,2
4,initial,0.22338847490987396,0.02368266643152383,1,1,1,16,2
5,initial,0.42078417843964755,-0.13030135773748688,1,1,1,16,2
6,initial,0.398197179540276,-0.23683550591246558,1,1,1,16,2
7,initial,0.2805148743156508,-0.12628411481245655,1,1,1,16,2
8,initial,0.3165231328779808,0.09221214586937984,1,1,1,16,2
1,initial,0.3408994216312553,-0.11385210238441269,1,1,1,17,2
2,initial,0.2390521712006031,0.08130527823318631,1,1,1,17,2
3,initial,0.18316846638776385,-0.13241041122488684,1,1,1,17,2
4,initial,0.22103022249265114,0.034228376107688516,1,1,1,17,2
